"","Prevotella","Bacteroides","Faecalibacterium","Finegoldia","Mediterraneibacter","Phocaeicola","Streptococcus","Blautia","Roseburia","Ruminococcus","Coprococcus","Collinsella","Anaerococcus","Anaerobutyricum","Corynebacterium","Peptoniphilus","Bifidobacterium","Fusobacterium","Anaerostipes","Parvimonas","Alistipes","Gardnerella","Megasphaera","Lachnospira","Parabacteroides","Clostridium","Escherichia","Porphyromonas","Sneathia","Lachnoclostridium","Oscillibacter","Dysosmobacter","Butyricimonas","Selenomonas","Brachyspira","Succinivibrio","Faecalitalea","Odoribacter","Staphylococcus","Campylobacter","Acidaminococcus","Dialister","Enterocloster","Flavonifractor","Haemophilus","Clostridioides","Ruthenibacterium","Enterococcus","Paraprevotella","Erysipelatoclostridium"
"Tet(40)",NA,NA,0.0535037910636776,NA,NA,NA,NA,-0.0215226216500436,0.0769739645233826,-0.0789344348428087,NA,-0.0474618988098808,NA,0.0145145091767297,NA,NA,NA,NA,-0.105167981160505,NA,NA,NA,NA,0.0194655454443071,NA,-0.0461580907976649,NA,NA,NA,-0.00842815905427374,0.12026366335138,NA,0.0876027432550709,NA,NA,NA,NA,NA,NA,NA,NA,0.000695909743586798,NA,-0.00205048605780034,NA,0.0142332321436803,NA,NA,NA,-0.062244892009328
"Tet(L)",NA,NA,NA,NA,NA,NA,-0.167514387576079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174440078426644,NA,-0.114443921389667,NA,0.126059244888776,NA,NA,NA,NA,NA,0.104363329807432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EmrY",NA,0.0530502015149634,NA,NA,NA,-0.0245288764226607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.139610949187434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0359169793666645,NA,NA
"EmrK",NA,-0.0886835826399312,NA,NA,NA,-0.209536700159053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13892751155007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.148675417955179,NA,NA
"Tet(B)",NA,0.558769439167537,NA,NA,NA,0.749258986014991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.470719624874663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21164701827816,NA,0.580443199915928
"MdfA",NA,0.18909011056296,NA,NA,NA,0.309061603346181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.244987916982508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245423012845501,NA,NA
"Tet(K)",NA,NA,NA,0.10740851437777,NA,NA,NA,NA,NA,NA,NA,NA,-0.0707589257533879,NA,NA,-0.0126129923725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169853098849824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(A)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TetA(46)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289776399641866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.284777656937428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TetB(46)",NA,0.53365766626206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278465182695624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TetA(P)",NA,0.0942847304159607,NA,NA,NA,0.0305788314862575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0539881524569456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0688023708440794,NA,NA
"MexK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(33)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MexL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(Z)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TetA(60)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MepA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(38)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(D)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(X)",0.17901191898969,NA,0.186318293421951,NA,NA,NA,NA,0.0433365311428009,0.266597810251679,0.0701803077396924,0.0691663804356829,0.0506896449853437,NA,0.0237409463213909,NA,NA,NA,NA,0.192842429951789,NA,0.212300756630558,NA,NA,0.225669707676283,NA,0.0312543047754453,NA,NA,NA,0.0205656300302846,NA,NA,0.0839536828649068,NA,NA,NA,NA,0.134806438168455,NA,NA,NA,NA,0.107624050844639,NA,NA,NA,NA,NA,0.126241704010027,NA
"Tet(37)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(M)",NA,NA,NA,-0.110658333126146,NA,NA,-0.0593710931266742,NA,NA,NA,NA,NA,-0.0450522116473295,NA,NA,0.0479162204097169,NA,-0.102884730892889,NA,-0.180119912386048,NA,-0.0560506759453273,NA,NA,NA,NA,NA,0.291646294051199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0810670981764405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(Q)",0.0909090909090908,NA,-0.00779220779220768,NA,NA,-0.0597402597402596,NA,-0.157142857142857,0.012987012987013,NA,-0.144155844155844,-0.0896103896103896,NA,-0.212987012987013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.168831168831169,NA,NA,-0.0779220779220779,NA,NA,NA,NA,-0.0441558441558442,NA,NA,NA,NA,-0.116883116883117,-0.130767746147041,NA,NA,NA,NA,NA,NA
"Tet(W)",NA,NA,0.142253986067126,NA,-0.0675544043423795,NA,NA,0.0779473896258224,0.118220207599164,0.066255281181949,NA,0.0643065964413034,NA,0.0682039659225946,NA,NA,NA,NA,-0.0311309007496549,NA,0.0876908133290502,NA,NA,0.107177660735506,0.0136407931845188,-0.0350763253316201,NA,NA,NA,0.0734004585643162,0.151347848190138,0.105930390664625,0.0123416700240885,NA,0.217322511888861,NA,0.0435809189392449,-0.00454693106150628,NA,NA,NA,-0.0292302711096833,0.0188372858262404,0.0721635274631506,NA,0.0201364089866708,0.087041251748835,NA,-0.00902069809588579,-0.0630074732808731
"Tet(O/M/O)",0.174529093218179,NA,0.202609604158449,NA,NA,NA,NA,-0.0461466885739571,0.168082474304819,NA,-0.0306862941269842,NA,NA,-0.121716512865116,NA,NA,NA,NA,NA,NA,0.23901134980312,NA,NA,NA,NA,-0.0386846134025731,NA,NA,NA,-0.0364518631562225,0.156566657506463,NA,0.190660961761698,NA,NA,NA,NA,0.175208227944785,NA,NA,NA,NA,0.0391964825930522,0.0737945334516952,NA,0.132151111217617,NA,NA,NA,NA
"Tet(O)",NA,NA,0.16213639778364,NA,NA,NA,NA,0.0282933526843456,0.125102942249358,0.0374007275465851,0.0484257500765584,0.0491107825972442,NA,-0.00939430943426145,NA,NA,NA,NA,0.0163355131688401,NA,0.162808973247851,NA,NA,0.0614625871757529,0.0387207532255071,-0.115248988579139,NA,NA,NA,0.0126985963454206,0.198524514468716,0.133298395854718,0.0243951386568528,NA,NA,NA,-0.0915259077127258,0.0328457732961628,NA,NA,NA,-0.130805529202438,-0.00353115315174057,0.0624923837706128,NA,-0.0431444861269972,0.0939241975355793,NA,0.00793301087318687,-0.154244430456744
"Tet(W/N/W)",NA,NA,0.108609442200224,NA,-0.0403132140621213,NA,NA,0.0630151747037921,NA,0.062386386942874,NA,0.101997261225242,NA,0.0604004010575536,NA,NA,NA,NA,NA,NA,0.10348799602968,NA,NA,0.116504634255143,-0.0167993279145514,-0.0338727231043284,NA,NA,NA,0.0733937233547565,0.133999093481339,0.0849210536339263,0.0441719958725615,NA,0.331003684118961,NA,0.0458813286080876,0.0278694036431054,NA,NA,NA,NA,-0.0566327633303121,0.00953307311731555,NA,-0.0481617742605204,0.0845579123749344,NA,-0.0411275446368744,NA
"Tet(O/W/32/O)",NA,NA,0.127173919666796,NA,-0.0899349946027242,NA,NA,0.0556039147283948,0.111014428617463,0.0381346990211539,NA,0.0257313351311385,NA,0.0536037004562138,NA,NA,NA,NA,-0.0837823355577282,NA,0.123526370900832,NA,NA,0.029836948994062,NA,-0.0847351163312032,NA,NA,NA,0.0685722244653684,0.169561834622214,0.111397539811047,0.000359661504149011,NA,NA,NA,-0.0155180371682482,0.0360666232531266,NA,NA,NA,NA,-0.05749216527414,0.00937559065302895,NA,0.0180273720867391,0.105205494526684,NA,-0.0530674674759246,-0.102233173174179
"Tet(32)",NA,NA,NA,NA,NA,NA,NA,0.0421427803889362,NA,0.143432207302065,NA,NA,NA,0.0136238542205409,NA,NA,NA,NA,0.0691614493355114,NA,0.0730006274545023,NA,NA,0.121296715577316,-0.0290862565049713,-0.0901767852593937,NA,NA,NA,NA,0.0515137914152018,0.0381641676491714,-0.00742304736045774,NA,NA,NA,-0.0386456430995568,NA,NA,NA,NA,0.033914504690324,NA,NA,NA,-0.0518751802927864,NA,NA,NA,-0.0308024002142406
"Tet(O/32/O)",NA,NA,0.314131381509581,NA,NA,NA,NA,0.143050677754706,0.364711663517172,0.184441086155238,NA,NA,NA,0.0859901892637902,NA,NA,NA,NA,0.216106496079925,NA,0.308568907946478,NA,NA,0.121309069122033,-0.054388209028263,-0.0194566259723118,NA,NA,NA,0.151781684901653,0.268095976013019,0.220899332778836,0.107230169158864,NA,NA,NA,0.0577646889600718,NA,NA,NA,NA,-0.0580148397127752,0.127717577720966,0.163864151578743,NA,0.0882697973077434,0.116506080227193,NA,NA,-0.103871513404652
"Tet(W/32/O)",NA,NA,0.223988109087164,NA,NA,NA,NA,0.0964343184554795,NA,0.183651731248598,NA,0.123353115296132,NA,0.0709363843386825,NA,NA,NA,NA,NA,NA,0.136163763052589,NA,NA,NA,0.0206826590123457,-0.206632257622514,NA,NA,NA,0.101137964092932,0.282935558019796,0.24581919463818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0998293114525501,0.22772414835931,NA,0.0320313235795752,0.178263093181186,NA,0.0232819359417751,NA
"Tet(O/W/O)",NA,NA,NA,NA,NA,NA,NA,0.00693252165699099,0.175904949856342,NA,NA,NA,NA,0.0240828912383723,NA,NA,NA,NA,0.0207005322310544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100251572669768,NA,NA,NA,0.0478604879771356,NA,NA,NA,NA,-0.101752879233877,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(O/W)",NA,NA,-0.0270674485017663,NA,NA,NA,NA,0.123574784099109,NA,0.240526568580341,NA,0.305169660956527,NA,0.186858496468536,NA,NA,NA,NA,NA,NA,-0.145346288560862,NA,NA,NA,NA,0.0582863307641842,NA,NA,NA,0.204049955242736,-0.181852219403744,-0.140132909406334,NA,NA,0.359503099049685,NA,NA,NA,NA,NA,NA,NA,-0.0201562853704768,NA,NA,-0.178360805331648,-0.0710750270786439,NA,-0.133805110862045,NA
"Tet(44)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0775457152521477,NA,NA,NA,NA,NA,0.064422884299532,0.0945766540534512,NA,NA,NA,NA,0.191792289436401,0.181758588206305,NA,NA,NA,NA,0.0876179374522424,NA,NA,NA,NA,0.203588240835355,NA,NA,NA,NA,NA,NA,NA,NA
"TetB(P)",NA,0.27145305169682,NA,NA,NA,0.112298174799702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342997160197814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200190341237264,NA,0.126335446649665
"Tet(T)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tet(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
